Número de componentes, T. secuencial vect. Globales 1 thread/core, T. paralelo (versión for) 8 threads/cores, T. paralelo (versión sections) 8threads/cores
16384,0.000349045,0.000110865,0.000280857,
32768,0.000201941,0.000277996,0.000562191,
65536,0.000399113,0.000392199,0.000846148,
131072,0.000717878,0.000532150,0.001754045,
262144,0.001586199,0.000963926,0.003453970,
524288,0.003388882,0.002132177,0.006901979,
1048576,0.006395102,0.003816128,0.013885021,
2097152,0.015784025,0.007569075,0.029118061,
4194304,0.023000002,0.015020847,0.054545879,
8388608,0.049160004,0.028101921,0.102366924,
16777216,0.100707054,0.057315111,0.233089924,
33554432,0.206789970,0.086694002,0.462047100,
67108864,0.155066013,0.149203062,0.434586048,
