Número de componentes, Tiempo secuencial vect. Globales 1 thread/core Elapsed - CPUuser - CPUsys, Tiempo paralelo/versión for 8 Threads/cores Elapsed - CPUuser - CPUsys
65536,0.02-0.00-0.00-,0.01-0.00-0.00-,0.01-0.00-0.00-,
131072,0.00-0.00-0.00-,0.00-0.00-0.00-,0.00-0.00-0.00-,
262144,0.00-0.00-0.00-,0.00-0.00-0.00-,0.00-0.00-0.01-,
524288,0.01-0.00-0.00-,0.00-0.00-0.01-,0.01-0.01-0.02-,
1048576,0.02-0.00-0.00-,0.01-0.01-0.01-,0.02-0.02-0.03-,
2097152,0.03-0.01-0.01-,0.02-0.01-0.03-,0.04-0.05-0.06-,
4194304,0.06-0.03-0.03-,0.04-0.03-0.07-,0.08-0.10-0.15-,
8388608,0.13-0.06-0.06-,0.07-0.07-0.14-,0.16-0.19-0.29-,
16777216,0.30-0.12-0.15-,0.16-0.13-0.30-,0.33-0.39-0.62-,
33554432,0.76-0.25-0.30-,0.26-0.30-0.44-,0.64-0.78-1.14-,
67108864,0.58-0.22-0.30-,0.42-0.31-0.46-,0.72-0.80-1.21-,
